llm,id,consulta
deepseek-v4-flash,pr-c09,Microsoft research and development expenses increase fiscal year 2024 to 2025 drivers
deepseek-v4-flash,pr-c10,NVIDIA gross profit change FY2024 FY2025 gross margin drivers
deepseek-v4-flash,pr-c11,Meta depreciation policy change servers 2024 2025 impact net income
deepseek-v4-flash,pr-c12,Amazon change in estimated useful lives servers network equipment 2024 2025 operating income impact
deepseek-v4-flash,pr-c13,Alphabet operating cash flow change 2024 2025 management discussion investment in technical infrastructure
deepseek-v4-flash,of-001,NVIDIA FY2025 10-K China competition export controls
deepseek-v4-flash,of-002,security risk from increased use of generative AI models in internal systems Microsoft fiscal year 2025
deepseek-v4-flash,of-003,Meta Platforms 10-K FY2025 legal bases transfer personal data European Union United States adequacy decision standard contractual clauses safeguards
deepseek-v4-flash,of-004,Apple 10-K FY2025 risk factors tariffs
deepseek-v4-flash,of-005,antitrust lawsuit search business Google Alphabet 10-K 2025
deepseek-v4-flash,of-006,Amazon international segment percentage of consolidated revenue 2025 market risk
deepseek-v4-flash,of-014,Microsoft revenue growth fiscal year 2024 to fiscal year 2025 management discussion drivers
deepseek-v4-flash,of-015,NVIDIA revenue growth fiscal year 2024 to fiscal year 2025 management discussion attribution
deepseek-v4-flash,of-016,Meta research and development expenses increase from fiscal year 2024 to 2025 attributed to
deepseek-v4-flash,of-017,Amazon operating income 2024 2025 year-over-year change and first quarter guidance
deepseek-v4-flash,of-018,Alphabet revenue growth 2024 2025 capital expenditures annual
deepseek-v4-flash,of-019,Apple gross profit change FY2024 FY2025 management discussion product gross margin
deepseek-v4-flash,of-020,Meta net income change 2024 to 2025 factors explanation
gemini-3.5-flash-lite (ctl),pr-e13,Alphabet maximum exposure to loss variable interest entities VIE leases
gemini-3.5-flash-lite (ctl),pr-e14,Meta unsolidified variable interest entity data center joint venture Louisiana balance sheet accounting treatment
gemini-3.5-flash-lite (ctl),pr-e15,Apple future lease commitments not yet commenced fixed payments 2024
gemini-3.5-flash-lite (ctl),pr-e16,supply obligations prepayments purchase commitments inventory component capacity payments
gemini-3.5-flash-lite (ctl),pr-e18,International segment net sales percentage of consolidated revenue 2024
gemini-3.5-flash-lite (ctl),pr-e19,Alphabet equity securities fair value sensitivity analysis 10 percent adverse change December 31 2024
gemini-3.5-flash-lite (ctl),pr-e20,Activision Blizzard acquisition FTC challenge regulatory antitrust risk
gemini-3.5-flash-lite (ctl),pr-c06,Apple net income growth FY2025 FY2024 Services segment revenue contribution drivers
gemini-3.5-flash-lite (ctl),pr-c09,Microsoft Research and Development R&D expense increase growth drivers fiscal year 2025 2024
gemini-3.5-flash-lite (ctl),pr-c10,NVIDIA gross profit increase decrease FY2025 FY2024 gross margin drivers revenue cost of sales
gemini-3.5-flash-lite (ctl),pr-c11,Meta servers useful life depreciation policy change net income impact 2024 2025
gemini-3.5-flash-lite (ctl),pr-c12,Amazon estimated useful life servers networking equipment operating income change 2024 2025
gemini-3.5-flash-lite (ctl),pr-c13,Alphabet operating cash flow variance 2024 to 2025 technical infrastructure capital expenditures management discussion and analysis
gemini-3.5-flash-lite (ctl),of-001,NVIDIA FY2025 Form 10-K China market competition export controls restrictions US government
gemini-3.5-flash-lite (ctl),of-002,Microsoft generative AI internal systems security risks FY2025
gemini-3.5-flash-lite (ctl),of-003,Meta Platforms EU US data transfer legal basis GDPR standard contractual clauses adequacy decision FY 2025 10-K
gemini-3.5-flash-lite (ctl),of-004,tariff risk trade policy import duties international trade custom tariffs
gemini-3.5-flash-lite (ctl),of-005,Alphabet antitrust search lawsuit litigation business 10-K FY2025
gemini-3.5-flash-lite (ctl),of-006,International segment percentage of consolidated revenue 2025 quantitative and qualitative disclosures about market risk
gemini-3.5-flash-lite (ctl),of-014,Microsoft revenue growth FY2025 compared to FY2024 drivers management discussion and analysis
gemini-3.5-flash-lite (ctl),of-015,NVIDIA revenue growth fiscal year 2025 compared to 2024 drivers management discussion and analysis MD&A
gemini-3.5-flash-lite (ctl),of-016,Meta Platforms research and development expense increase 2025 2024 drivers reasons
gemini-3.5-flash-lite (ctl),of-017,Amazon operating income 2024 2025 guidance first quarter Q1
gemini-3.5-flash-lite (ctl),of-018,Alphabet revenue growth 2024 to 2025 capital expenditures additions to property and equipment each fiscal year
gemini-3.5-flash-lite (ctl),of-019,Apple gross profit change FY2024 FY2025 products gross margin management discussion and analysis MD&A
gemini-3.5-flash-lite (ctl),of-020,Meta Platforms net income increase decrease drivers 2025 2024 consolidated statements of operations management discussion and analysis
gemini-3.8-flash,pr-e13,"Alphabet ""maximum exposure to loss"" (""variable interest entities"" OR ""VIEs"") leases"
gemini-3.8-flash,pr-e14,"Meta Platforms ""data center"" Louisiana (""joint venture"" OR ""variable interest entity"" OR ""VIE"") (""equity method"" OR consolidation OR ""primary beneficiary"")"
gemini-3.8-flash,pr-e15,"Apple ""leases that have not yet commenced"" undiscounted fixed payments 2024"
gemini-3.8-flash,pr-e16,"NVIDIA 10-K fiscal 2024 ""advance payments"" OR prepayments OR deposits ""secure supply"" OR ""manufacturing capacity"" purchase commitments"
gemini-3.8-flash,pr-e18,Amazon 2024 International segment net sales percentage of consolidated net sales
gemini-3.8-flash,pr-e19,"Alphabet ""December 31, 2024"" ""equity price risk"" ""fair value"" ""equity securities"" (""hypothetical 10%"" OR ""10% adverse"")"
gemini-3.8-flash,pr-e20,"Microsoft"" ""Activision Blizzard"" (""Federal Trade Commission"" OR ""FTC"") (""Risk Factors"" OR ""Item 1A"" OR ""Legal Proceedings"") (challenge OR appeal OR litigation)"
gemini-3.8-flash,pr-c06,"Apple ""net income"" ""Services"" net sales fiscal year 2025 2024 results of operations"
gemini-3.8-flash,pr-c09,"research and development"" expenses ""fiscal year 2025"" ""fiscal year 2024"" (""increased"" OR ""increase"") (""driven by"" OR ""primarily due to"")"
gemini-3.8-flash,pr-c10,"NVIDIA ""gross profit"" OR ""gross margin"" ""fiscal 2025"" ""fiscal 2024"" drivers ""Results of Operations"
gemini-3.8-flash,pr-c11,Meta Platforms change in estimated useful lives servers network equipment depreciation expense effect on net income
gemini-3.8-flash,pr-c12,"Amazon ""useful life"" servers networking equipment ""operating income"" ""change in accounting estimate"
gemini-3.8-flash,pr-c13,"Alphabet ""net cash provided by operating activities"" ""technical infrastructure"" ""capital expenditures"" 2024 2025"
gemini-3.8-flash,of-001,"NVIDIA China ""export controls"" competition ""licensing requirements"
gemini-3.8-flash,of-002,"Microsoft ""generative artificial intelligence"" OR ""generative AI"" internal systems cybersecurity security risks vulnerabilities"
gemini-3.8-flash,of-003,Meta Platforms cross-border data transfers European Union to United States legal bases Standard Contractual Clauses EU-U.S. Data Privacy Framework
gemini-3.8-flash,of-004,"Apple Inc."" ""Item 1A"" ""Risk Factors"" tariffs ""import duties"" OR ""trade restrictions"" OR ""trade policies"
gemini-3.8-flash,of-005,"Alphabet ""antitrust"" search (""Department of Justice"" OR DOJ) ""legal proceedings"
gemini-3.8-flash,of-006,"Amazon ""International segment"" percentage OR percent of consolidated net sales 2025 ""market risk"
gemini-3.8-flash,of-014,"Microsoft"" revenue ""fiscal year 2025 compared to fiscal year 2024"" ""Results of Operations"" ""primarily driven by"
gemini-3.8-flash,of-015,"NVIDIA revenue increase fiscal year 2025 compared to 2024 ""primarily driven by"" OR ""primarily due to"
gemini-3.8-flash,of-016,"Meta Platforms ""research and development"" expenses increase 2025 compared to 2024 ""primarily due to"" OR ""driven by"
gemini-3.8-flash,of-017,"Amazon ""operating income"" 2024 2025 ""first quarter"" outlook guidance ""results of operations"
gemini-3.8-flash,of-018,"Alphabet Inc. revenues ""capital expenditures"" OR ""purchases of property and equipment"" 2024 2025"
gemini-3.8-flash,of-019,"Apple ""gross profit"" ""Products gross margin"" 2025 2024 ""Management's Discussion and Analysis"
gemini-3.8-flash,of-020,"Meta Platforms"" ""net income"" ""results of operations"" ""2025 compared to 2024"
